poligono_id,anio,poblacion_estimada,densidad_hab_km2,confianza_inferior,confianza_superior
san_lucas,2023,2307,4013.6,1845,2768
san_lucas,2024,2486,4325.0,1989,2984
san_lucas,2025,2614,4547.7,2090,3137
monsenor_kemerer,2018,2176,3528.1,1741,2612
monsenor_kemerer,2019,2598,4212.3,2078,3118
monsenor_kemerer,2020,2688,4358.3,2150,3226
monsenor_kemerer,2021,2910,4718.2,2328,3493
monsenor_kemerer,2022,3000,4864.1,2399,3600
monsenor_kemerer,2023,3130,5074.9,2504,3757
monsenor_kemerer,2024,3289,5332.7,2631,3947
monsenor_kemerer,2025,3383,5485.1,2706,4061
rocamora,2018,2357,4666.2,1885,2829
rocamora,2019,2761,5466.0,2209,3314
rocamora,2020,2850,5642.2,2280,3421
rocamora,2021,3019,5976.8,2414,3623
rocamora,2022,3096,6129.2,2476,3715
rocamora,2023,3202,6339.1,2561,3842
rocamora,2024,3396,6723.2,2717,4076
rocamora,2025,3413,6756.8,2730,4096
yacyreta,2018,2159,3424.6,1727,2591
yacyreta,2019,2990,4742.7,2392,3589
yacyreta,2020,3176,5037.8,2540,3812
yacyreta,2021,3693,5857.8,2954,4432
yacyreta,2022,3811,6045.0,3048,4574
yacyreta,2023,3961,6282.9,3168,4754
yacyreta,2024,4439,7041.2,3551,5327
yacyreta,2025,4518,7166.5,3614,5422
villa_urquiza,2018,3698,4941.9,2958,4438
villa_urquiza,2019,4322,5775.8,3457,5187
villa_urquiza,2020,4482,5989.6,3585,5379
villa_urquiza,2021,4796,6409.3,3836,5755
villa_urquiza,2022,4838,6465.4,3870,5806
villa_urquiza,2023,4982,6657.8,3985,5979
villa_urquiza,2024,5145,6875.7,4116,6175
villa_urquiza,2025,5168,6906.4,4134,6202
complejo_habitacional_virgen_de_fatima,2018,1695,2119.2,1355,2034
complejo_habitacional_virgen_de_fatima,2019,2169,2711.9,1735,2603
complejo_habitacional_virgen_de_fatima,2020,2271,2839.4,1816,2725
complejo_habitacional_virgen_de_fatima,2021,2394,2993.2,1914,2873
complejo_habitacional_virgen_de_fatima,2022,2436,3045.7,1948,2924
complejo_habitacional_virgen_de_fatima,2023,2516,3145.7,2013,3020
complejo_habitacional_virgen_de_fatima,2024,2563,3204.5,2050,3076
complejo_habitacional_virgen_de_fatima,2025,2631,3289.5,2104,3158
a4_nueva_esperanza,2018,1220,2139.3,976,1465
a4_nueva_esperanza,2019,1602,2809.1,1281,1923
a4_nueva_esperanza,2020,1617,2835.4,1293,1941
a4_nueva_esperanza,2021,1749,3066.9,1399,2100
a4_nueva_esperanza,2022,1779,3119.5,1422,2135
a4_nueva_esperanza,2023,1779,3119.5,1422,2135
a4_nueva_esperanza,2024,1823,3196.6,1458,2188
a4_nueva_esperanza,2025,1823,3196.6,1458,2188
el_laurel,2018,611,1288.5,488,734
el_laurel,2019,995,2098.3,795,1194
el_laurel,2020,1080,2277.6,864,1297
el_laurel,2021,1180,2488.5,943,1416
el_laurel,2022,1236,2606.6,989,1484
el_laurel,2023,1279,2697.3,1023,1535
el_laurel,2024,1350,2847.0,1080,1621
el_laurel,2025,1393,2937.7,1114,1672
cima_del_sol,2018,1732,1898.8,1385,2078
cima_del_sol,2019,1921,2106.0,1537,2306
