poligono_id,fecha,s1_vv_mean_db,s1_vh_mean_db,s1_cross_ratio,delta_vv_mean_db,n_imagenes_vv,n_imagenes_vh,version_script,fecha_calculo
23_de_septiembre,2018-07,-4.446036523934433,-12.80766417207859,8.361627648144157,,8,8,0.1.0,2026-04-27T06:21:33
23_de_septiembre,2019-07,-3.9528826055395476,-11.800603964190799,7.847721358651251,0.4931539183948854,2,2,0.1.0,2026-04-27T06:21:34
23_de_septiembre,2020-07,-2.992427083117069,-11.019591995970636,8.027164912853568,0.9604555224224787,6,6,0.1.0,2026-04-27T06:21:35
23_de_septiembre,2021-07,-3.9007819946851328,-11.929040488017897,8.028258493332764,-0.9083549115680638,7,7,0.1.0,2026-04-27T06:21:36
23_de_septiembre,2022-07,-3.6611069138087053,-12.241961965004062,8.580855051195357,0.23967508087642742,3,3,0.1.0,2026-04-27T06:21:37
23_de_septiembre,2023-07,-3.9082698974863783,-12.204531670288016,8.296261772801639,-0.24716298367767298,7,7,0.1.0,2026-04-27T06:21:38
23_de_septiembre,2024-07,-3.718122697484054,-11.981815670611521,8.263692973127467,0.1901472000023241,7,7,0.1.0,2026-04-27T06:21:41
23_de_septiembre,2025-07,-3.6209752548096326,-11.91981443495428,8.298839180144647,0.09714744267442166,8,8,0.1.0,2026-04-27T06:21:42
23_de_septiembre,2026-07,,,,,0,0,0.1.0,2026-04-27T06:21:44
a4_nueva_esperanza,2018-07,-6.3580276484330245,-14.542541361417062,8.184513712984037,,8,8,0.1.0,2026-04-27T06:23:57
a4_nueva_esperanza,2019-07,-5.8567287462004005,-14.20344882027324,8.346720074072838,0.501298902232624,2,2,0.1.0,2026-04-27T06:23:57
a4_nueva_esperanza,2020-07,-4.6504314858917075,-13.550521413995849,8.90008992810414,1.206297260308693,6,6,0.1.0,2026-04-27T06:23:58
a4_nueva_esperanza,2021-07,-6.143218292069525,-13.969719002388,7.826500710318475,-1.4927868061778176,7,7,0.1.0,2026-04-27T06:24:00
a4_nueva_esperanza,2022-07,-5.5560133612192235,-13.868570317377118,8.312556956157895,0.5872049308503016,3,3,0.1.0,2026-04-27T06:24:01
a4_nueva_esperanza,2023-07,-5.376198206093222,-13.647232451803548,8.271034245710325,0.17981515512600144,7,7,0.1.0,2026-04-27T06:24:02
a4_nueva_esperanza,2024-07,-5.4377632331465975,-13.670080631118985,8.232317397972388,-0.06156502705337541,7,7,0.1.0,2026-04-27T06:24:03
a4_nueva_esperanza,2025-07,-5.347750109187844,-13.417348863133618,8.069598753945774,0.09001312395875338,8,8,0.1.0,2026-04-27T06:24:04
a4_nueva_esperanza,2026-07,,,,,0,0,0.1.0,2026-04-27T06:24:05
a_3_2_sector_b,2018-07,-5.167032928755043,-14.503656600151624,9.33662367139658,,8,8,0.1.0,2026-04-27T06:21:00
a_3_2_sector_b,2019-07,-4.669266827496201,-13.736097793141562,9.066830965645362,0.4977661012588426,2,2,0.1.0,2026-04-27T06:21:01
a_3_2_sector_b,2020-07,-4.078318891958367,-13.480145045982459,9.401826154024093,0.5909479355378338,6,6,0.1.0,2026-04-27T06:21:02
a_3_2_sector_b,2021-07,-4.7449365930739855,-14.408675537615283,9.663738944541297,-0.6666177011156185,7,7,0.1.0,2026-04-27T06:21:03
a_3_2_sector_b,2022-07,-4.653031029933977,-14.216327794166055,9.563296764232078,0.09190556314000808,3,3,0.1.0,2026-04-27T06:21:05
a_3_2_sector_b,2023-07,-4.504676562459736,-14.20748882998611,9.702812267526374,0.14835446747424186,7,7,0.1.0,2026-04-27T06:21:06
a_3_2_sector_b,2024-07,-4.801756079235517,-13.877181263094924,9.075425183859407,-0.29707951677578137,7,7,0.1.0,2026-04-27T06:21:08
a_3_2_sector_b,2025-07,-4.652714416086365,-13.420883998666724,8.76816958258036,0.14904166314915201,8,8,0.1.0,2026-04-27T06:21:09
a_3_2_sector_b,2026-07,,,,,0,0,0.1.0,2026-04-27T06:21:10
