poligono_id,anio,superficie_construida_km2,superficie_vegetacion_km2,edificios_total,confianza_inferior,confianza_superior
luis_piedrabuena,2018,0.0269,0.6853,269,228,310
luis_piedrabuena,2019,0.036,0.6762,360,306,414
luis_piedrabuena,2020,0.0369,0.6753,369,313,425
luis_piedrabuena,2021,0.0401,0.6721,401,340,462
luis_piedrabuena,2022,0.0412,0.671,412,350,474
luis_piedrabuena,2023,0.0438,0.6684,438,372,504
luis_piedrabuena,2024,0.0463,0.6659,463,393,533
luis_piedrabuena,2025,0.0478,0.6644,478,406,550
san_lucas,2018,0.0146,0.5602,146,124,168
san_lucas,2019,0.0204,0.5544,204,173,235
san_lucas,2020,0.022,0.5528,220,187,253
san_lucas,2021,0.0245,0.5503,245,208,282
san_lucas,2022,0.0254,0.5494,254,215,293
san_lucas,2023,0.0308,0.544,308,261,355
san_lucas,2024,0.0332,0.5416,332,282,382
san_lucas,2025,0.0349,0.5399,349,296,402
monsenor_kemerer,2018,0.0851,0.5317,851,723,979
monsenor_kemerer,2019,0.1016,0.5152,1016,863,1169
monsenor_kemerer,2020,0.1051,0.5117,1051,893,1209
monsenor_kemerer,2021,0.1138,0.503,1138,967,1309
monsenor_kemerer,2022,0.1173,0.4995,1173,997,1349
monsenor_kemerer,2023,0.1224,0.4944,1224,1040,1408
monsenor_kemerer,2024,0.1286,0.4882,1286,1093,1479
monsenor_kemerer,2025,0.1323,0.4845,1323,1124,1522
rocamora,2018,0.098,0.4071,980,833,1127
rocamora,2019,0.1148,0.3903,1148,975,1321
rocamora,2020,0.1185,0.3866,1185,1007,1363
rocamora,2021,0.1255,0.3796,1255,1066,1444
rocamora,2022,0.1287,0.3764,1287,1093,1481
rocamora,2023,0.1331,0.372,1331,1131,1531
rocamora,2024,0.1412,0.3639,1412,1200,1624
rocamora,2025,0.1419,0.3632,1419,1206,1632
yacyreta,2018,0.0605,0.5699,605,514,696
yacyreta,2019,0.0838,0.5466,838,712,964
yacyreta,2020,0.089,0.5414,890,756,1024
yacyreta,2021,0.1035,0.5269,1035,879,1191
yacyreta,2022,0.1068,0.5236,1068,907,1229
