fecha,pm10,pm2_5,no2,so2,ozone,european_aqi
2026-05-09,4.6,4.3,3.1,0.5,55.0,22.0
2026-05-10,5.2,5.1,2.9,0.4,54.0,22.0
2026-05-11,16.4,15.9,11.3,1.5,65.0,26.0
2026-05-12,33.4,32.8,24.1,2.7,79.0,32.0
2026-05-13,40.6,39.8,25.0,2.9,40.0,51.0
