fecha,pm10,pm2_5,no2,so2,ozone,european_aqi
2026-06-01,8.9,8.8,7.6,1.3,74.0,30.0
2026-06-02,9.8,9.7,6.9,1.2,77.0,31.0
2026-06-03,24.7,24.2,16.0,2.0,97.0,39.0
2026-06-04,24.3,23.6,14.1,2.0,89.0,37.0
2026-06-05,23.1,22.3,15.7,1.9,85.0,34.0
