poligono_id,fecha,tmin_p10,tmin_p50,tmin_p90,tmax_p10,tmax_p50,tmax_p90,precipitation_mm,weather_code,offset_calor_c,offset_frio_c,offset_origen,generated_at
a_3_2_sector_b,2026-05-02,16.27,20.76,23.55,23.91,26.61,28.91,12.3,61.0,1.61,0.36,uhi_verano+invierno,2026-04-27T07:14:29
a_3_2_sector_b,2026-05-03,10.57,16.31,23.04,20.51,23.26,28.3,0.0,3.0,1.61,0.36,uhi_verano+invierno,2026-04-27T07:14:29
a_3_2_sector_b,2026-05-04,8.16,12.91,20.25,20.35,24.56,31.8,0.0,,1.61,0.36,uhi_verano+invierno,2026-04-27T07:14:29
a_3_2_sector_b,2026-05-05,8.11,18.21,22.16,22.66,27.41,32.9,0.0,,1.61,0.36,uhi_verano+invierno,2026-04-27T07:14:29
a_3_2_sector_b,2026-05-06,11.45,19.01,21.95,22.18,27.76,32.48,0.12,,1.61,0.36,uhi_verano+invierno,2026-04-27T07:14:29
a_3_2_sector_b,2026-05-07,11.87,18.46,21.54,21.04,26.36,31.51,0.5,,1.61,0.36,uhi_verano+invierno,2026-04-27T07:14:29
a_3_2_sector_b,2026-05-08,9.98,17.01,22.15,20.12,23.76,30.56,0.7,,1.61,0.36,uhi_verano+invierno,2026-04-27T07:14:29
a_3_2_sector_b,2026-05-09,8.98,12.21,20.65,18.26,21.86,29.98,0.7,,1.61,0.36,uhi_verano+invierno,2026-04-27T07:14:29
a_3_2_sector_b,2026-05-10,8.56,10.96,19.16,16.96,21.11,25.57,0.2,,1.61,0.36,uhi_verano+invierno,2026-04-27T07:14:29
aguas_corrientes,2026-04-27,8.67,10.86,14.96,18.87,21.16,24.25,0.0,2.0,1.56,0.16,uhi_verano+invierno,2026-04-27T07:14:29
aguas_corrientes,2026-04-28,6.46,8.71,13.76,19.69,22.46,23.55,0.0,0.0,1.56,0.16,uhi_verano+invierno,2026-04-27T07:14:29
aguas_corrientes,2026-04-29,8.37,11.71,17.65,24.69,26.36,27.46,0.0,3.0,1.56,0.16,uhi_verano+invierno,2026-04-27T07:14:29
aguas_corrientes,2026-04-30,11.47,17.56,22.15,26.27,28.31,29.86,0.0,3.0,1.56,0.16,uhi_verano+invierno,2026-04-27T07:14:29
