poligono_id,fecha,s1_vv_mean_db,s1_vh_mean_db,s1_cross_ratio,delta_vv_mean_db,n_imagenes_vv,n_imagenes_vh,version_script,fecha_calculo
a_3_2_sector_b,2025-07,-4.652714416086365,-13.420883998666724,8.76816958258036,0.14904166314915201,8,8,0.1.0,2026-04-28T09:47:34
a_3_2_sector_b,2026-07,,,,,0,0,0.1.0,2026-04-28T09:47:36
aguas_corrientes,2018-07,-3.548305267013736,-12.487141472138587,8.938836205124854,,8,8,0.1.0,2026-04-28T09:53:46
aguas_corrientes,2019-07,-3.257832247762763,-12.235881492989842,8.97804924522708,0.29047301925097324,2,2,0.1.0,2026-04-28T09:53:47
aguas_corrientes,2020-07,-2.4772572865778164,-11.420085238130463,8.942827951552648,0.7805749611849464,6,6,0.1.0,2026-04-28T09:53:48
aguas_corrientes,2021-07,-3.025109645066469,-11.958024254055887,8.932914608989417,-0.5478523584886528,7,7,0.1.0,2026-04-28T09:53:49
aguas_corrientes,2022-07,-2.812076547440227,-11.528984794565083,8.716908247124856,0.213033097626242,3,3,0.1.0,2026-04-28T09:53:50
aguas_corrientes,2023-07,-2.774101112106351,-11.443378026031365,8.669276913925014,0.03797543533387637,7,7,0.1.0,2026-04-28T09:53:51
aguas_corrientes,2024-07,-2.641760920820812,-11.440710905680184,8.79894998485937,0.13234019128553864,7,7,0.1.0,2026-04-28T09:53:52
aguas_corrientes,2025-07,-2.628847222197415,-11.17429566195228,8.545448439754866,0.012913698623397085,8,8,0.1.0,2026-04-28T09:53:52
aguas_corrientes,2026-07,,,,,0,0,0.1.0,2026-04-28T09:53:53
alta_gracia,2018-07,-5.093330845819715,-14.13436668271362,9.041035836893904,,8,8,0.1.0,2026-04-28T09:48:47
alta_gracia,2019-07,-4.701116381219598,-13.103975263609842,8.402858882390245,0.39221446460011666,2,2,0.1.0,2026-04-28T09:48:48
alta_gracia,2020-07,-3.9986672749120777,-12.940462097973516,8.94179482306144,0.7024491063075202,6,6,0.1.0,2026-04-28T09:48:49
alta_gracia,2021-07,-4.563575939793745,-13.577370897765508,9.013794957971765,-0.5649086648816675,7,7,0.1.0,2026-04-28T09:48:50
alta_gracia,2022-07,-4.750486222195133,-13.201042320331096,8.450556098135962,-0.18691028240138774,3,3,0.1.0,2026-04-28T09:48:51
alta_gracia,2023-07,-4.748257469973361,-13.331490023290277,8.583232553316915,0.002228752221771657,7,7,0.1.0,2026-04-28T09:48:52
alta_gracia,2024-07,-4.520734916956489,-13.168001679099987,8.647266762143499,0.22752255301687185,7,7,0.1.0,2026-04-28T09:48:53
alta_gracia,2025-07,-3.978797415856581,-12.500207002676245,8.521409586819662,0.5419375010999086,8,8,0.1.0,2026-04-28T09:48:54
alta_gracia,2026-07,,,,,0,0,0.1.0,2026-04-28T09:48:55
bajada_vieja,2018-07,-5.573872999766892,-13.780079334327809,8.206206334560918,,8,8,0.1.0,2026-04-28T09:54:02
