poligono_id,anio,no2_mean_mol_m2,no2_relativo_bbox
complejo_habitacional_virgen_de_fatima,2022,1.387479e-05,1.0772
complejo_habitacional_virgen_de_fatima,2023,1.449693e-05,1.0834
complejo_habitacional_virgen_de_fatima,2024,1.212840e-05,0.9666
complejo_habitacional_virgen_de_fatima,2025,1.384375e-05,1.0624
a4_nueva_esperanza,2019,1.279064e-05,1.0043
a4_nueva_esperanza,2020,1.104094e-05,0.9574
a4_nueva_esperanza,2021,1.376797e-05,1.06
a4_nueva_esperanza,2022,1.236920e-05,0.9603
a4_nueva_esperanza,2023,1.392281e-05,1.0405
a4_nueva_esperanza,2024,1.256392e-05,1.0014
a4_nueva_esperanza,2025,1.315780e-05,1.0098
el_laurel,2019,1.581256e-05,1.2416
el_laurel,2020,1.389838e-05,1.2051
el_laurel,2021,1.816269e-05,1.3984
el_laurel,2022,1.688748e-05,1.3111
el_laurel,2023,1.673613e-05,1.2508
el_laurel,2024,1.632515e-05,1.3011
el_laurel,2025,1.676465e-05,1.2866
cima_del_sol,2019,1.256716e-05,0.9867
cima_del_sol,2020,1.101847e-05,0.9554
cima_del_sol,2021,1.356010e-05,1.044
cima_del_sol,2022,1.237738e-05,0.9609
cima_del_sol,2023,1.371085e-05,1.0247
cima_del_sol,2024,1.270665e-05,1.0127
cima_del_sol,2025,1.293899e-05,0.993
san_isidro,2019,1.174150e-05,0.9219
san_isidro,2020,1.104250e-05,0.9575
san_isidro,2021,1.225257e-05,0.9434
san_isidro,2022,1.198241e-05,0.9303
san_isidro,2023,1.268117e-05,0.9477
san_isidro,2024,1.188872e-05,0.9475
san_isidro,2025,1.237179e-05,0.9495
lomas_de_garupa,2019,1.250301e-05,0.9817
lomas_de_garupa,2020,1.099159e-05,0.9531
lomas_de_garupa,2021,1.335366e-05,1.0281
lomas_de_garupa,2022,1.328716e-05,1.0316
lomas_de_garupa,2023,1.302754e-05,0.9736
lomas_de_garupa,2024,1.147420e-05,0.9145
lomas_de_garupa,2025,1.306359e-05,1.0026
santa_helena,2019,1.149069e-05,0.9022
santa_helena,2020,1.025998e-05,0.8896
santa_helena,2021,1.222017e-05,0.9409
santa_helena,2022,1.268715e-05,0.985
santa_helena,2023,1.387967e-05,1.0373
santa_helena,2024,1.203706e-05,0.9594
santa_helena,2025,1.136013e-05,0.8718
fatima,2019,1.282105e-05,1.0067
fatima,2020,1.160418e-05,1.0062
fatima,2021,1.380110e-05,1.0626
fatima,2022,1.401112e-05,1.0878
fatima,2023,1.436934e-05,1.0739
fatima,2024,1.184332e-05,0.9439
fatima,2025,1.375575e-05,1.0557
