poligono_id,anio,precip_mm_anual,precip_mm_verano,precip_mm_invierno
san_lucas,2025,2169.53,864.32,1088.2
monsenor_kemerer,2018,1687.3,1240.77,470.42
monsenor_kemerer,2019,1974.99,1249.8,914.42
monsenor_kemerer,2020,1377.23,923.59,630.98
monsenor_kemerer,2021,1411.55,842.22,490.07
monsenor_kemerer,2022,1549.37,790.81,743.59
monsenor_kemerer,2023,2265.33,649.67,872.02
monsenor_kemerer,2024,1973.95,1620.17,950.64
monsenor_kemerer,2025,2136.92,851.98,1068.39
rocamora,2018,1687.3,1240.77,470.42
rocamora,2019,1974.99,1249.8,914.42
rocamora,2020,1377.23,923.59,630.98
rocamora,2021,1411.55,842.22,490.07
rocamora,2022,1549.37,790.81,743.59
rocamora,2023,2265.33,649.67,872.02
rocamora,2024,1973.95,1620.17,950.64
rocamora,2025,2136.92,851.98,1068.39
yacyreta,2018,1687.3,1240.77,470.42
yacyreta,2019,1974.99,1249.8,914.42
yacyreta,2020,1377.23,923.59,630.98
yacyreta,2021,1411.55,842.22,490.07
yacyreta,2022,1549.37,790.81,743.59
yacyreta,2023,2265.33,649.67,872.02
yacyreta,2024,1973.95,1620.17,950.64
yacyreta,2025,2136.92,851.98,1068.39
villa_urquiza,2018,1671.54,1207.53,469.24
villa_urquiza,2019,1952.88,1235.83,916.37
villa_urquiza,2020,1416.75,919.34,661.41
villa_urquiza,2021,1393.81,831.97,489.26
villa_urquiza,2022,1569.95,792.61,755.91
villa_urquiza,2023,2295.38,651.32,899.63
villa_urquiza,2024,1974.75,1623.63,955.13
villa_urquiza,2025,2161.64,859.17,1075.79
complejo_habitacional_virgen_de_fatima,2018,1694.79,1227.3,472.02
complejo_habitacional_virgen_de_fatima,2019,1986.92,1271.43,917.05
complejo_habitacional_virgen_de_fatima,2020,1393.3,909.22,655.96
complejo_habitacional_virgen_de_fatima,2021,1403.19,832.99,488.51
complejo_habitacional_virgen_de_fatima,2022,1551.48,807.27,740.55
complejo_habitacional_virgen_de_fatima,2023,2240.85,631.9,862.38
complejo_habitacional_virgen_de_fatima,2024,1938.06,1622.38,913.28
complejo_habitacional_virgen_de_fatima,2025,2157.9,842.69,1098.2
a4_nueva_esperanza,2018,1710.69,1249.16,475.95
a4_nueva_esperanza,2019,1993.78,1260.09,921.58
a4_nueva_esperanza,2020,1404.83,938.65,647.37
a4_nueva_esperanza,2021,1410.88,853.84,491.38
a4_nueva_esperanza,2022,1552.33,795.26,741.12
a4_nueva_esperanza,2023,2248.4,635.58,860.12
a4_nueva_esperanza,2024,1961.77,1626.79,928.93
a4_nueva_esperanza,2025,2169.53,864.32,1088.2
el_laurel,2018,1687.3,1240.77,470.42
el_laurel,2019,1974.99,1249.8,914.42
el_laurel,2020,1377.23,923.59,630.98
el_laurel,2021,1411.55,842.22,490.07
el_laurel,2022,1549.37,790.81,743.59
el_laurel,2023,2265.33,649.67,872.02
el_laurel,2024,1973.95,1620.17,950.64
el_laurel,2025,2136.92,851.98,1068.39
cima_del_sol,2018,1710.69,1249.16,475.95
cima_del_sol,2019,1993.78,1260.09,921.58
cima_del_sol,2020,1404.83,938.65,647.37
cima_del_sol,2021,1410.88,853.84,491.38
cima_del_sol,2022,1552.33,795.26,741.12
cima_del_sol,2023,2248.4,635.58,860.12
cima_del_sol,2024,1961.77,1626.79,928.93
cima_del_sol,2025,2169.53,864.32,1088.2
san_isidro,2018,1710.69,1249.16,475.95
san_isidro,2019,1993.78,1260.09,921.58
san_isidro,2020,1404.83,938.65,647.37
san_isidro,2021,1410.88,853.84,491.38
san_isidro,2022,1552.33,795.26,741.12
san_isidro,2023,2248.4,635.58,860.12
san_isidro,2024,1961.77,1626.79,928.93
san_isidro,2025,2169.53,864.32,1088.2
lomas_de_garupa,2018,1686.54,1215.36,463.63
lomas_de_garupa,2019,1985.2,1264.28,915.23
lomas_de_garupa,2020,1400.14,922.86,657.67
lomas_de_garupa,2021,1392.7,828.49,484.0
lomas_de_garupa,2022,1548.93,808.72,741.44
lomas_de_garupa,2023,2242.3,626.66,865.64
lomas_de_garupa,2024,1942.04,1622.45,920.24
lomas_de_garupa,2025,2142.54,839.29,1086.89
santa_helena,2018,1703.45,1222.73,466.4
santa_helena,2019,2009.72,1284.58,918.38
santa_helena,2020,1411.35,944.23,647.13
santa_helena,2021,1396.1,845.95,485.3
santa_helena,2022,1555.95,802.56,748.06
santa_helena,2023,2270.3,630.14,876.2
santa_helena,2024,1954.48,1646.78,921.47
santa_helena,2025,2162.84,847.34,1104.33
fatima,2018,1694.79,1227.3,472.02
fatima,2019,1986.92,1271.43,917.05
fatima,2020,1393.3,909.22,655.96
fatima,2021,1403.19,832.99,488.51
fatima,2022,1551.48,807.27,740.55
fatima,2023,2240.85,631.9,862.38
fatima,2024,1938.06,1622.38,913.28
fatima,2025,2157.9,842.69,1098.2
don_santiago,2018,1703.45,1222.73,466.4
don_santiago,2019,2009.72,1284.58,918.38
don_santiago,2020,1411.35,944.23,647.13
don_santiago,2021,1396.1,845.95,485.3
don_santiago,2022,1555.95,802.56,748.06
don_santiago,2023,2270.3,630.14,876.2
don_santiago,2024,1954.48,1646.78,921.47
don_santiago,2025,2162.84,847.34,1104.33
nu_pora,2018,1694.79,1227.3,472.02
nu_pora,2019,1986.92,1271.43,917.05
nu_pora,2020,1393.3,909.22,655.96
nu_pora,2021,1403.19,832.99,488.51
nu_pora,2022,1551.48,807.27,740.55
nu_pora,2023,2240.85,631.9,862.38
nu_pora,2024,1938.06,1622.38,913.28
nu_pora,2025,2157.9,842.69,1098.2
miguel_lanus,2018,1694.79,1227.3,472.02
miguel_lanus,2019,1986.92,1271.43,917.05
miguel_lanus,2020,1393.3,909.22,655.96
miguel_lanus,2021,1403.19,832.99,488.51
miguel_lanus,2022,1551.48,807.27,740.55
miguel_lanus,2023,2240.85,631.9,862.38
miguel_lanus,2024,1938.06,1622.38,913.28
miguel_lanus,2025,2157.9,842.69,1098.2
norte,2018,1679.15,1207.21,463.35
norte,2019,1992.9,1269.93,914.23
norte,2020,1407.94,929.77,664.55
norte,2021,1394.31,818.06,481.77
norte,2022,1555.74,818.47,746.32
norte,2023,2270.61,627.35,882.42
norte,2024,1962.93,1654.16,925.8
norte,2025,2147.6,840.38,1093.63
centro,2018,1672.46,1209.49,469.31
centro,2019,1954.18,1236.65,916.25
centro,2020,1414.42,919.59,659.62
centro,2021,1394.85,832.57,489.3
centro,2022,1568.74,792.5,755.19
centro,2023,2293.61,651.22,898.0
centro,2024,1974.7,1623.42,954.87
centro,2025,2160.18,858.75,1075.35
complejo_gervasio_artigas,2018,1685.38,1211.19,464.13
complejo_gervasio_artigas,2019,1997.21,1273.69,915.3
complejo_gervasio_artigas,2020,1408.82,933.48,660.08
complejo_gervasio_artigas,2021,1394.77,825.21,482.68
complejo_gervasio_artigas,2022,1555.79,814.39,746.76
complejo_gervasio_artigas,2023,2270.53,628.06,880.83
complejo_gervasio_artigas,2024,1960.76,1652.26,924.69
complejo_gervasio_artigas,2025,2151.51,842.17,1096.37
federal,2018,1692.75,1212.51,467.85
federal,2019,2005.62,1280.49,918.55
federal,2020,1404.75,937.28,648.64
federal,2021,1394.53,837.8,486.09
federal,2022,1557.78,805.28,748.79
federal,2023,2274.98,628.46,877.54
federal,2024,1960.54,1657.22,923.9
federal,2025,2156.76,845.63,1107.87
nemesio_parma,2018,1707.67,1242.56,477.09
nemesio_parma,2019,1946.62,1218.02,919.43
nemesio_parma,2020,1378.51,938.11,602.79
nemesio_parma,2021,1415.01,851.69,495.2
nemesio_parma,2022,1566.89,800.06,755.96
nemesio_parma,2023,2268.74,654.67,866.64
nemesio_parma,2024,1995.18,1633.62,959.66
nemesio_parma,2025,2171.64,854.84,1091.04
