poligono_id,anio,estacion,uhi_vs_rural_mean,uhi_vs_ciudad_mean,lst_mean,n_meses
a_3_2_sector_b,2026,otono,7.88,3.43,41.25,1
a_3_2_sector_b,2026,verano,4.87,1.81,42.41,3
aguas_corrientes,2018,invierno,-0.01,-0.27,21.84,1
aguas_corrientes,2018,otono,1.92,0.97,30.69,3
aguas_corrientes,2018,primavera,3.95,1.65,35.52,3
aguas_corrientes,2018,verano,1.51,1.5,36.7,1
aguas_corrientes,2019,invierno,0.62,-0.12,22.34,2
aguas_corrientes,2019,otono,5.81,3.13,36.6,2
aguas_corrientes,2019,primavera,5.13,1.69,36.1,3
aguas_corrientes,2019,verano,5.0,2.04,40.45,2
aguas_corrientes,2020,invierno,0.7,0.17,23.27,1
aguas_corrientes,2020,otono,3.14,0.69,27.7,3
aguas_corrientes,2020,primavera,1.78,0.76,40.54,2
aguas_corrientes,2020,verano,4.7,1.9,40.74,2
aguas_corrientes,2021,invierno,-0.42,-0.08,18.8,2
aguas_corrientes,2021,otono,0.99,1.08,32.07,3
aguas_corrientes,2021,primavera,4.67,1.82,37.53,3
aguas_corrientes,2021,verano,2.7,1.01,41.62,2
aguas_corrientes,2022,invierno,2.42,0.74,22.96,2
aguas_corrientes,2022,otono,1.78,0.63,27.36,3
aguas_corrientes,2022,primavera,3.13,1.27,33.64,3
aguas_corrientes,2022,verano,4.54,1.23,45.04,2
aguas_corrientes,2023,invierno,1.08,0.23,26.11,3
aguas_corrientes,2023,otono,2.41,0.8,30.68,3
aguas_corrientes,2023,primavera,4.17,1.29,36.43,3
aguas_corrientes,2023,verano,2.5,1.21,42.84,3
aguas_corrientes,2024,invierno,0.46,-0.26,19.38,2
aguas_corrientes,2024,otono,0.36,-0.07,28.92,3
aguas_corrientes,2024,primavera,5.25,1.8,35.49,3
aguas_corrientes,2024,verano,7.59,2.28,45.08,3
aguas_corrientes,2025,invierno,0.82,-0.0,17.73,3
aguas_corrientes,2025,otono,0.97,0.18,29.14,3
aguas_corrientes,2025,primavera,4.6,1.37,34.97,3
aguas_corrientes,2025,verano,4.22,1.61,42.47,3
aguas_corrientes,2026,otono,3.11,-1.34,36.48,1
aguas_corrientes,2026,verano,4.74,1.68,42.28,3
alta_gracia,2018,invierno,-0.17,-0.43,21.68,1
alta_gracia,2018,otono,1.0,0.05,29.77,3
alta_gracia,2018,primavera,2.89,0.59,34.46,3
alta_gracia,2018,verano,0.17,0.16,35.36,1
alta_gracia,2019,invierno,0.3,-0.44,22.02,2
alta_gracia,2019,otono,1.64,-1.04,32.42,2
alta_gracia,2019,primavera,3.95,0.51,34.92,3
alta_gracia,2019,verano,4.34,1.38,39.78,2
