poligono_id,anio,mes,lst_mean,uhi_vs_rural,uhi_vs_ciudad,uhi_anomalia,lst_rural_baseline,n_observaciones_historico,std_historico,fuente_lst,confianza_cross_sensor
el_laurel,2018,3,28.73,-1.98,-3.13,,30.71,0,,landsat,
cima_del_sol,2018,3,31.97,1.26,0.11,,30.71,0,,landsat,
san_isidro,2018,3,33.84,3.13,1.98,,30.71,0,,landsat,
lomas_de_garupa,2018,3,32.54,1.83,0.68,,30.71,0,,landsat,
santa_helena,2018,3,32.98,2.27,1.12,,30.71,0,,landsat,
fatima,2018,3,31.92,1.21,0.06,,30.71,0,,landsat,
don_santiago,2018,3,31.71,1.0,-0.15,,30.71,0,,landsat,
nu_pora,2018,3,32.05,1.34,0.19,,30.71,0,,landsat,
miguel_lanus,2018,3,32.55,1.84,0.69,,30.71,0,,landsat,
norte,2018,3,29.61,-1.1,-2.25,,30.71,0,,landsat,
centro,2018,3,33.25,2.54,1.39,,30.71,0,,landsat,
complejo_gervasio_artigas,2018,3,30.37,-0.34,-1.49,,30.71,0,,landsat,
federal,2018,3,31.05,0.34,-0.81,,30.71,0,,landsat,
nemesio_parma,2018,3,28.84,-1.87,-3.02,,30.71,0,,landsat,
villa_cabello,2018,3,29.52,-1.19,-2.34,,30.71,0,,landsat,
itaembe_pora,2018,3,27.16,-3.55,-4.7,,30.71,0,,landsat,
itaembe_mini,2018,3,29.83,-0.88,-2.03,,30.71,0,,landsat,
aguas_corrientes,2018,3,34.19,3.48,2.33,,30.71,0,,landsat,
chacra_32,2018,3,34.54,3.83,2.68,,30.71,0,,landsat,
villa_bonita,2018,3,32.89,2.18,1.03,,30.71,0,,landsat,
itaembe_guazu,2018,3,28.93,-1.78,-2.93,,30.71,0,,landsat,
posadas_completa,2018,3,31.01,0.3,-0.85,,30.71,0,,landsat,
dm_santa_rita,2018,3,32.96,2.25,1.1,,30.71,0,,landsat,
dm_itaembe_mini_este,2018,3,30.8,0.09,-1.06,,30.71,0,,landsat,
dm_miguel_lanus,2018,3,31.35,0.64,-0.51,,30.71,0,,landsat,
cit_riberas_del_parana,2018,3,31.1,0.39,-0.76,,30.71,0,,landsat,
dm_villa_urquiza,2018,3,34.0,3.29,2.14,,30.71,0,,landsat,
dm_santa_rita_suroeste,2018,3,33.4,2.69,1.54,,30.71,0,,landsat,
puerto_canela,2018,3,29.33,-1.38,-2.53,,30.71,0,,landsat,
villa_dolores,2018,3,33.4,2.69,1.54,,30.71,0,,landsat,
dm_itaembe_mini_este_suroeste,2018,3,28.43,-2.28,-3.43,,30.71,0,,landsat,
los_patitos,2018,3,31.22,0.51,-0.64,,30.71,0,,landsat,
cit_riberas_del_parana_oeste,2018,3,30.67,-0.04,-1.19,,30.71,0,,landsat,
san_martin_sureste,2018,3,32.56,1.85,0.7,,30.71,0,,landsat,
horacio_quiroga,2018,3,30.76,0.05,-1.1,,30.71,0,,landsat,
la_eugenia,2018,3,30.88,0.17,-0.98,,30.71,0,,landsat,
dm_villa_urquiza_sureste,2018,3,34.84,4.13,2.98,,30.71,0,,landsat,
el_portal,2018,3,31.43,0.72,-0.43,,30.71,0,,landsat,
porvenir_2,2018,3,30.78,0.07,-1.08,,30.71,0,,landsat,
a_3_2_sector_b,2018,4,34.33,1.6,0.64,,32.73,0,,landsat,
colonia_laosiana,2018,4,31.65,-1.08,-2.04,,32.73,0,,landsat,
23_de_septiembre,2018,4,35.52,2.79,1.83,,32.73,0,,landsat,
villa_mola,2018,4,34.81,2.08,1.12,,32.73,0,,landsat,
san_marcos,2018,4,32.92,0.19,-0.77,,32.73,0,,landsat,
las_dolores,2018,4,33.77,1.04,0.08,,32.73,0,,landsat,
el_palomar,2018,4,34.63,1.9,0.94,,32.73,0,,landsat,
alta_gracia,2018,4,33.55,0.82,-0.14,,32.73,0,,landsat,
santa_rita,2018,4,34.01,1.28,0.32,,32.73,0,,landsat,
san_martin,2018,4,34.02,1.29,0.33,,32.73,0,,landsat,
villa_sarita,2018,4,33.39,0.66,-0.3,,32.73,0,,landsat,
el_brete,2018,4,33.58,0.85,-0.11,,32.73,0,,landsat,
luis_piedrabuena,2018,4,33.59,0.86,-0.1,,32.73,0,,landsat,
san_lucas,2018,4,33.6,0.87,-0.09,,32.73,0,,landsat,
monsenor_kemerer,2018,4,34.1,1.37,0.41,,32.73,0,,landsat,
rocamora,2018,4,34.4,1.67,0.71,,32.73,0,,landsat,
yacyreta,2018,4,34.09,1.36,0.4,,32.73,0,,landsat,
villa_urquiza,2018,4,34.81,2.08,1.12,,32.73,0,,landsat,
complejo_habitacional_virgen_de_fatima,2018,4,34.85,2.12,1.16,,32.73,0,,landsat,
a4_nueva_esperanza,2018,4,36.3,3.57,2.61,,32.73,0,,landsat,
el_laurel,2018,4,30.92,-1.81,-2.77,,32.73,0,,landsat,
cima_del_sol,2018,4,33.05,0.32,-0.64,,32.73,0,,landsat,
san_isidro,2018,4,34.5,1.77,0.81,,32.73,0,,landsat,
lomas_de_garupa,2018,4,34.19,1.46,0.5,,32.73,0,,landsat,
santa_helena,2018,4,33.91,1.18,0.22,,32.73,0,,landsat,
fatima,2018,4,33.34,0.61,-0.35,,32.73,0,,landsat,
don_santiago,2018,4,32.83,0.1,-0.86,,32.73,0,,landsat,
nu_pora,2018,4,33.36,0.63,-0.33,,32.73,0,,landsat,
miguel_lanus,2018,4,33.69,0.96,0.0,,32.73,0,,landsat,
norte,2018,4,32.75,0.02,-0.94,,32.73,0,,landsat,
centro,2018,4,33.72,0.99,0.03,,32.73,0,,landsat,
complejo_gervasio_artigas,2018,4,33.11,0.38,-0.58,,32.73,0,,landsat,
federal,2018,4,33.94,1.21,0.25,,32.73,0,,landsat,
nemesio_parma,2018,4,31.92,-0.81,-1.77,,32.73,0,,landsat,
villa_cabello,2018,4,33.37,0.64,-0.32,,32.73,0,,landsat,
itaembe_pora,2018,4,33.66,0.93,-0.03,,32.73,0,,landsat,
itaembe_mini,2018,4,34.01,1.28,0.32,,32.73,0,,landsat,
aguas_corrientes,2018,4,34.48,1.75,0.79,,32.73,0,,landsat,
chacra_32,2018,4,35.0,2.27,1.31,,32.73,0,,landsat,
villa_bonita,2018,4,34.04,1.31,0.35,,32.73,0,,landsat,
itaembe_guazu,2018,4,34.44,1.71,0.75,,32.73,0,,landsat,
posadas_completa,2018,4,33.45,0.72,-0.24,,32.73,0,,landsat,
dm_santa_rita,2018,4,33.86,1.13,0.17,,32.73,0,,landsat,
dm_itaembe_mini_este,2018,4,33.08,0.35,-0.61,,32.73,0,,landsat,
dm_miguel_lanus,2018,4,32.17,-0.56,-1.52,,32.73,0,,landsat,
cit_riberas_del_parana,2018,4,33.74,1.01,0.05,,32.73,0,,landsat,
dm_villa_urquiza,2018,4,34.77,2.04,1.08,,32.73,0,,landsat,
dm_santa_rita_suroeste,2018,4,34.13,1.4,0.44,,32.73,0,,landsat,
puerto_canela,2018,4,32.76,0.03,-0.93,,32.73,0,,landsat,
villa_dolores,2018,4,34.47,1.74,0.78,,32.73,0,,landsat,
dm_itaembe_mini_este_suroeste,2018,4,32.97,0.24,-0.72,,32.73,0,,landsat,
los_patitos,2018,4,32.48,-0.25,-1.21,,32.73,0,,landsat,
cit_riberas_del_parana_oeste,2018,4,32.88,0.15,-0.81,,32.73,0,,landsat,
san_martin_sureste,2018,4,34.7,1.97,1.01,,32.73,0,,landsat,
horacio_quiroga,2018,4,33.52,0.79,-0.17,,32.73,0,,landsat,
la_eugenia,2018,4,31.94,-0.79,-1.75,,32.73,0,,landsat,
dm_villa_urquiza_sureste,2018,4,35.51,2.78,1.82,,32.73,0,,landsat,
el_portal,2018,4,32.56,-0.17,-1.13,,32.73,0,,landsat,
porvenir_2,2018,4,32.46,-0.27,-1.23,,32.73,0,,landsat,
a_3_2_sector_b,2018,5,22.08,-0.78,-1.25,,22.86,0,,landsat,
colonia_laosiana,2018,5,23.44,0.59,0.11,,22.86,0,,landsat,
23_de_septiembre,2018,5,23.75,0.89,0.42,,22.86,0,,landsat,
villa_mola,2018,5,22.13,-0.73,-1.2,,22.86,0,,landsat,
san_marcos,2018,5,22.58,-0.28,-0.75,,22.86,0,,landsat,
las_dolores,2018,5,24.55,1.7,1.22,,22.86,0,,landsat,
el_palomar,2018,5,22.37,-0.48,-0.96,,22.86,0,,landsat,
alta_gracia,2018,5,23.02,0.16,-0.31,,22.86,0,,landsat,
santa_rita,2018,5,21.96,-0.89,-1.37,,22.86,0,,landsat,
san_martin,2018,5,23.25,0.39,-0.08,,22.86,0,,landsat,
villa_sarita,2018,5,23.48,0.62,0.15,,22.86,0,,landsat,
el_brete,2018,5,24.28,1.43,0.95,,22.86,0,,landsat,
