poligono_id,anio,n_focos_firms,n_focos_cbers_swir,n_coincidencias,agreement_pct,fuente_secundaria
san_lucas,2025,0,0,0,,no_disponible
monsenor_kemerer,2018,0,0,0,,no_disponible
monsenor_kemerer,2019,0,0,0,,no_disponible
monsenor_kemerer,2020,0,0,0,,no_disponible
monsenor_kemerer,2021,0,0,0,,no_disponible
monsenor_kemerer,2022,0,0,0,,no_disponible
monsenor_kemerer,2023,0,0,0,,no_disponible
monsenor_kemerer,2024,0,0,0,,no_disponible
monsenor_kemerer,2025,0,0,0,,no_disponible
rocamora,2018,0,0,0,,no_disponible
rocamora,2019,0,0,0,,no_disponible
rocamora,2020,0,0,0,,no_disponible
rocamora,2021,0,0,0,,no_disponible
rocamora,2022,0,0,0,,no_disponible
rocamora,2023,0,0,0,,no_disponible
rocamora,2024,0,0,0,,no_disponible
rocamora,2025,0,0,0,,no_disponible
yacyreta,2018,0,0,0,,no_disponible
yacyreta,2019,0,0,0,,no_disponible
yacyreta,2020,0,0,0,,no_disponible
yacyreta,2021,0,0,0,,no_disponible
yacyreta,2022,0,0,0,,no_disponible
yacyreta,2023,0,0,0,,no_disponible
yacyreta,2024,0,0,0,,no_disponible
yacyreta,2025,0,0,0,,no_disponible
villa_urquiza,2018,0,0,0,,no_disponible
villa_urquiza,2019,0,0,0,,no_disponible
villa_urquiza,2020,0,0,0,,no_disponible
villa_urquiza,2021,0,0,0,,no_disponible
villa_urquiza,2022,0,0,0,,no_disponible
villa_urquiza,2023,0,0,0,,no_disponible
villa_urquiza,2024,0,0,0,,no_disponible
villa_urquiza,2025,0,0,0,,no_disponible
complejo_habitacional_virgen_de_fatima,2018,0,0,0,,no_disponible
complejo_habitacional_virgen_de_fatima,2019,0,0,0,,no_disponible
complejo_habitacional_virgen_de_fatima,2020,0,0,0,,no_disponible
complejo_habitacional_virgen_de_fatima,2021,0,0,0,,no_disponible
complejo_habitacional_virgen_de_fatima,2022,0,0,0,,no_disponible
complejo_habitacional_virgen_de_fatima,2023,0,0,0,,no_disponible
complejo_habitacional_virgen_de_fatima,2024,0,0,0,,no_disponible
complejo_habitacional_virgen_de_fatima,2025,0,0,0,,no_disponible
a4_nueva_esperanza,2018,0,0,0,,no_disponible
a4_nueva_esperanza,2019,0,0,0,,no_disponible
a4_nueva_esperanza,2020,0,0,0,,no_disponible
a4_nueva_esperanza,2021,0,0,0,,no_disponible
a4_nueva_esperanza,2022,0,0,0,,no_disponible
a4_nueva_esperanza,2023,0,0,0,,no_disponible
a4_nueva_esperanza,2024,0,0,0,,no_disponible
a4_nueva_esperanza,2025,0,0,0,,no_disponible
el_laurel,2018,0,0,0,,no_disponible
el_laurel,2019,0,0,0,,no_disponible
el_laurel,2020,0,0,0,,no_disponible
el_laurel,2021,0,0,0,,no_disponible
el_laurel,2022,0,0,0,,no_disponible
el_laurel,2023,0,0,0,,no_disponible
el_laurel,2024,0,0,0,,no_disponible
el_laurel,2025,0,0,0,,no_disponible
cima_del_sol,2018,0,0,0,,no_disponible
cima_del_sol,2019,0,0,0,,no_disponible
cima_del_sol,2020,0,0,0,,no_disponible
cima_del_sol,2021,0,0,0,,no_disponible
cima_del_sol,2022,0,0,0,,no_disponible
cima_del_sol,2023,0,0,0,,no_disponible
cima_del_sol,2024,0,0,0,,no_disponible
cima_del_sol,2025,0,0,0,,no_disponible
san_isidro,2018,0,0,0,,no_disponible
san_isidro,2019,0,0,0,,no_disponible
san_isidro,2020,0,0,0,,no_disponible
san_isidro,2021,0,0,0,,no_disponible
san_isidro,2022,0,0,0,,no_disponible
san_isidro,2023,0,0,0,,no_disponible
san_isidro,2024,0,0,0,,no_disponible
san_isidro,2025,0,0,0,,no_disponible
lomas_de_garupa,2018,0,0,0,,no_disponible
lomas_de_garupa,2019,0,0,0,,no_disponible
lomas_de_garupa,2020,0,0,0,,no_disponible
lomas_de_garupa,2021,0,0,0,,no_disponible
lomas_de_garupa,2022,0,0,0,,no_disponible
lomas_de_garupa,2023,0,0,0,,no_disponible
lomas_de_garupa,2024,0,0,0,,no_disponible
lomas_de_garupa,2025,0,0,0,,no_disponible
santa_helena,2018,0,0,0,,no_disponible
santa_helena,2019,0,0,0,,no_disponible
santa_helena,2020,0,0,0,,no_disponible
santa_helena,2021,0,0,0,,no_disponible
santa_helena,2022,0,0,0,,no_disponible
santa_helena,2023,0,0,0,,no_disponible
santa_helena,2024,0,0,0,,no_disponible
santa_helena,2025,0,0,0,,no_disponible
fatima,2018,0,0,0,,no_disponible
fatima,2019,0,0,0,,no_disponible
fatima,2020,0,0,0,,no_disponible
fatima,2021,0,0,0,,no_disponible
fatima,2022,0,0,0,,no_disponible
fatima,2023,0,0,0,,no_disponible
fatima,2024,0,0,0,,no_disponible
fatima,2025,0,0,0,,no_disponible
don_santiago,2018,0,0,0,,no_disponible
don_santiago,2019,0,0,0,,no_disponible
don_santiago,2020,0,0,0,,no_disponible
don_santiago,2021,0,0,0,,no_disponible
don_santiago,2022,0,0,0,,no_disponible
don_santiago,2023,0,0,0,,no_disponible
don_santiago,2024,0,0,0,,no_disponible
don_santiago,2025,0,0,0,,no_disponible
nu_pora,2018,0,0,0,,no_disponible
nu_pora,2019,0,0,0,,no_disponible
nu_pora,2020,0,0,0,,no_disponible
nu_pora,2021,0,0,0,,no_disponible
nu_pora,2022,0,0,0,,no_disponible
nu_pora,2023,0,0,0,,no_disponible
nu_pora,2024,0,0,0,,no_disponible
nu_pora,2025,0,0,0,,no_disponible
miguel_lanus,2018,0,0,0,,no_disponible
miguel_lanus,2019,0,0,0,,no_disponible
miguel_lanus,2020,0,0,0,,no_disponible
