poligono_id,fecha,n_edificios_min,n_edificios_estimado,n_edificios_max
villa_urquiza,2020-07,1546,1819,2092
villa_urquiza,2021-07,1654,1947,2240
villa_urquiza,2022-07,1671,1967,2263
villa_urquiza,2023-07,1722,2027,2332
villa_urquiza,2024-07,1778,2092,2406
villa_urquiza,2025-07,1789,2105,2421
complejo_habitacional_virgen_de_fatima,2018-07,629,740,851
complejo_habitacional_virgen_de_fatima,2019-07,799,941,1083
complejo_habitacional_virgen_de_fatima,2020-07,825,971,1117
complejo_habitacional_virgen_de_fatima,2021-07,872,1027,1182
complejo_habitacional_virgen_de_fatima,2022-07,891,1049,1207
complejo_habitacional_virgen_de_fatima,2023-07,931,1096,1261
complejo_habitacional_virgen_de_fatima,2024-07,948,1116,1284
complejo_habitacional_virgen_de_fatima,2025-07,974,1147,1320
a4_nueva_esperanza,2018-07,730,859,988
a4_nueva_esperanza,2019-07,888,1045,1202
a4_nueva_esperanza,2020-07,912,1074,1236
a4_nueva_esperanza,2021-07,986,1161,1336
a4_nueva_esperanza,2022-07,995,1171,1347
a4_nueva_esperanza,2023-07,1008,1187,1366
a4_nueva_esperanza,2024-07,1034,1217,1400
a4_nueva_esperanza,2025-07,1036,1219,1402
el_laurel,2018-07,49,58,67
el_laurel,2019-07,74,88,102
el_laurel,2020-07,81,96,111
el_laurel,2021-07,90,106,122
el_laurel,2022-07,100,118,136
el_laurel,2023-07,104,123,142
el_laurel,2024-07,108,128,148
el_laurel,2025-07,113,133,153
cima_del_sol,2018-07,258,304,350
cima_del_sol,2019-07,283,333,383
cima_del_sol,2020-07,295,348,401
cima_del_sol,2021-07,334,393,452
cima_del_sol,2022-07,340,400,460
cima_del_sol,2023-07,368,434,500
cima_del_sol,2024-07,387,456,525
cima_del_sol,2025-07,392,462,532
san_isidro,2018-07,600,707,814
san_isidro,2019-07,721,849,977
san_isidro,2020-07,758,892,1026
san_isidro,2021-07,838,986,1134
san_isidro,2022-07,847,997,1147
san_isidro,2023-07,887,1044,1201
san_isidro,2024-07,906,1067,1228
san_isidro,2025-07,920,1083,1246
lomas_de_garupa,2018-07,227,268,309
lomas_de_garupa,2019-07,299,352,405
lomas_de_garupa,2020-07,317,374,431
lomas_de_garupa,2021-07,347,409,471
lomas_de_garupa,2022-07,378,445,512
lomas_de_garupa,2023-07,397,468,539
lomas_de_garupa,2024-07,410,483,556
lomas_de_garupa,2025-07,418,492,566
santa_helena,2018-07,1025,1207,1389
santa_helena,2019-07,1168,1375,1582
santa_helena,2020-07,1203,1416,1629
santa_helena,2021-07,1292,1520,1748
santa_helena,2022-07,1308,1539,1770
santa_helena,2023-07,1343,1580,1817
santa_helena,2024-07,1380,1624,1868
santa_helena,2025-07,1408,1657,1906
fatima,2018-07,187,221,255
fatima,2019-07,239,282,325
fatima,2020-07,258,304,350
fatima,2021-07,285,336,387
fatima,2022-07,297,350,403
fatima,2023-07,319,376,433
fatima,2024-07,340,401,462
fatima,2025-07,367,432,497
don_santiago,2018-07,114,135,156
don_santiago,2019-07,202,238,274
don_santiago,2020-07,211,249,287
don_santiago,2021-07,225,265,305
don_santiago,2022-07,228,269,310
don_santiago,2023-07,235,277,319
don_santiago,2024-07,261,308,355
don_santiago,2025-07,275,324,373
nu_pora,2018-07,356,419,482
nu_pora,2019-07,579,682,785
nu_pora,2020-07,610,718,826
nu_pora,2021-07,668,787,906
nu_pora,2022-07,685,807,929
nu_pora,2023-07,728,857,986
nu_pora,2024-07,766,902,1038
nu_pora,2025-07,805,948,1091
miguel_lanus,2018-07,826,972,1118
miguel_lanus,2019-07,1194,1405,1616
miguel_lanus,2020-07,1267,1491,1715
miguel_lanus,2021-07,1448,1704,1960
miguel_lanus,2022-07,1501,1766,2031
miguel_lanus,2023-07,1617,1903,2189
miguel_lanus,2024-07,1692,1991,2290
miguel_lanus,2025-07,1746,2055,2364
norte,2018-07,56,66,76
norte,2019-07,67,79,91
norte,2020-07,72,85,98
norte,2021-07,89,105,121
norte,2022-07,92,109,126
norte,2023-07,99,117,135
norte,2024-07,117,138,159
norte,2025-07,132,156,180
centro,2018-07,5576,6560,7544
centro,2019-07,6083,7157,8231
centro,2020-07,6159,7247,8335
centro,2021-07,6324,7440,8556
centro,2022-07,6370,7495,8620
centro,2023-07,6440,7577,8714
centro,2024-07,6544,7699,8854
centro,2025-07,6568,7728,8888
complejo_gervasio_artigas,2018-07,993,1169,1345
complejo_gervasio_artigas,2019-07,1200,1412,1624
complejo_gervasio_artigas,2020-07,1246,1466,1686
complejo_gervasio_artigas,2021-07,1314,1547,1780
complejo_gervasio_artigas,2022-07,1324,1558,1792
complejo_gervasio_artigas,2023-07,1382,1627,1872
complejo_gervasio_artigas,2024-07,1405,1654,1903
complejo_gervasio_artigas,2025-07,1431,1684,1937
federal,2018-07,14,17,20
federal,2019-07,15,18,21
federal,2020-07,17,20,23
federal,2021-07,19,23,27
federal,2022-07,19,23,27
federal,2023-07,20,24,28
federal,2024-07,21,25,29
federal,2025-07,21,25,29
