poligono_id,fecha,poblacion_min,poblacion_estimada,poblacion_max,metodo
san_lucas,2024-07,1120,1400,1681,directo
san_lucas,2025-07,1180,1476,1772,directo
monsenor_kemerer,2018-07,2479,3100,3720,directo
monsenor_kemerer,2019-07,2989,3737,4485,directo
monsenor_kemerer,2020-07,3096,3870,4644,directo
monsenor_kemerer,2021-07,3355,4194,5033,directo
monsenor_kemerer,2022-07,3458,4324,5189,directo
monsenor_kemerer,2023-07,3608,4511,5413,directo
monsenor_kemerer,2024-07,3787,4734,5681,directo
monsenor_kemerer,2025-07,3916,4896,5876,directo
rocamora,2018-07,2833,3542,4251,directo
rocamora,2019-07,3323,4154,4986,directo
rocamora,2020-07,3430,4288,5146,directo
rocamora,2021-07,3631,4540,5448,directo
rocamora,2022-07,3723,4655,5586,directo
rocamora,2023-07,3850,4813,5776,directo
rocamora,2024-07,4083,5105,6126,directo
rocamora,2025-07,4104,5130,6156,directo
yacyreta,2018-07,1756,2196,2636,directo
yacyreta,2019-07,2436,3046,3655,directo
yacyreta,2020-07,2586,3233,3880,directo
yacyreta,2021-07,3006,3758,4511,directo
yacyreta,2022-07,3101,3877,4653,directo
yacyreta,2023-07,3222,4028,4835,directo
yacyreta,2024-07,3611,4514,5418,directo
yacyreta,2025-07,3674,4594,5513,directo
villa_urquiza,2018-07,4343,5429,6515,directo
villa_urquiza,2019-07,5042,6304,7565,directo
villa_urquiza,2020-07,5238,6548,7859,directo
villa_urquiza,2021-07,5607,7009,8412,directo
villa_urquiza,2022-07,5664,7081,8498,directo
villa_urquiza,2023-07,5837,7297,8757,directo
villa_urquiza,2024-07,6024,7531,9038,directo
villa_urquiza,2025-07,6062,7578,9094,directo
complejo_habitacional_virgen_de_fatima,2018-07,2131,2664,3197,directo
complejo_habitacional_virgen_de_fatima,2019-07,2710,3388,4066,directo
complejo_habitacional_virgen_de_fatima,2020-07,2796,3496,4195,directo
complejo_habitacional_virgen_de_fatima,2021-07,2957,3697,4437,directo
complejo_habitacional_virgen_de_fatima,2022-07,3021,3776,4532,directo
complejo_habitacional_virgen_de_fatima,2023-07,3156,3946,4735,directo
complejo_habitacional_virgen_de_fatima,2024-07,3214,4018,4822,directo
complejo_habitacional_virgen_de_fatima,2025-07,3303,4129,4956,directo
a4_nueva_esperanza,2018-07,2473,3092,3711,directo
a4_nueva_esperanza,2019-07,3009,3762,4515,directo
a4_nueva_esperanza,2020-07,3093,3866,4640,directo
a4_nueva_esperanza,2021-07,3343,4180,5016,directo
a4_nueva_esperanza,2022-07,3372,4216,5059,directo
a4_nueva_esperanza,2023-07,3418,4273,5128,directo
a4_nueva_esperanza,2024-07,3504,4381,5258,directo
a4_nueva_esperanza,2025-07,3510,4388,5267,directo
el_laurel,2018-07,167,209,251,directo
el_laurel,2019-07,253,317,381,directo
el_laurel,2020-07,276,346,415,directo
el_laurel,2021-07,305,382,458,directo
el_laurel,2022-07,339,425,510,directo
el_laurel,2023-07,354,443,532,directo
el_laurel,2024-07,368,461,553,directo
el_laurel,2025-07,383,479,575,directo
cima_del_sol,2018-07,875,1094,1314,directo
cima_del_sol,2019-07,959,1199,1439,directo
cima_del_sol,2020-07,1002,1253,1504,directo
cima_del_sol,2021-07,1131,1415,1698,directo
cima_del_sol,2022-07,1152,1440,1728,directo
cima_del_sol,2023-07,1249,1562,1875,directo
cima_del_sol,2024-07,1313,1642,1970,directo
cima_del_sol,2025-07,1330,1663,1996,directo
san_isidro,2018-07,2036,2545,3055,directo
san_isidro,2019-07,2445,3056,3668,directo
san_isidro,2020-07,2568,3211,3854,directo
san_isidro,2021-07,2839,3550,4260,directo
san_isidro,2022-07,2871,3589,4308,directo
san_isidro,2023-07,3006,3758,4511,directo
san_isidro,2024-07,3072,3841,4610,directo
san_isidro,2025-07,3119,3899,4679,directo
lomas_de_garupa,2018-07,771,965,1158,directo
lomas_de_garupa,2019-07,1013,1267,1521,directo
lomas_de_garupa,2020-07,1077,1346,1616,directo
lomas_de_garupa,2021-07,1177,1472,1767,directo
lomas_de_garupa,2022-07,1281,1602,1923,directo
lomas_de_garupa,2023-07,1347,1685,2022,directo
lomas_de_garupa,2024-07,1391,1739,2087,directo
lomas_de_garupa,2025-07,1416,1771,2126,directo
santa_helena,2018-07,3476,4345,5215,directo
santa_helena,2019-07,3960,4950,5940,directo
santa_helena,2020-07,4078,5098,6118,directo
santa_helena,2021-07,4377,5472,6567,directo
santa_helena,2022-07,4432,5540,6649,directo
santa_helena,2023-07,4550,5688,6826,directo
santa_helena,2024-07,4677,5846,7016,directo
santa_helena,2025-07,4772,5965,7159,directo
fatima,2018-07,636,796,955,directo
fatima,2019-07,812,1015,1219,directo
fatima,2020-07,875,1094,1314,directo
fatima,2021-07,967,1210,1452,directo
fatima,2022-07,1008,1260,1512,directo
fatima,2023-07,1082,1354,1625,directo
fatima,2024-07,1154,1444,1733,directo
fatima,2025-07,1244,1555,1867,directo
don_santiago,2018-07,388,486,584,directo
don_santiago,2019-07,685,857,1029,directo
don_santiago,2020-07,717,896,1076,directo
don_santiago,2021-07,763,954,1145,directo
don_santiago,2022-07,774,968,1163,directo
don_santiago,2023-07,797,997,1197,directo
don_santiago,2024-07,887,1109,1331,directo
don_santiago,2025-07,933,1166,1400,directo
nu_pora,2018-07,1206,1508,1811,directo
nu_pora,2019-07,1964,2455,2947,directo
nu_pora,2020-07,2067,2585,3102,directo
nu_pora,2021-07,2266,2833,3400,directo
nu_pora,2022-07,2324,2905,3487,directo
nu_pora,2023-07,2468,3085,3703,directo
nu_pora,2024-07,2597,3247,3897,directo
nu_pora,2025-07,2730,3413,4096,directo
miguel_lanus,2018-07,2799,3499,4200,directo
miguel_lanus,2019-07,4046,5058,6070,directo
miguel_lanus,2020-07,4294,5368,6442,directo
miguel_lanus,2021-07,4907,6134,7362,directo
miguel_lanus,2022-07,5086,6358,7630,directo
miguel_lanus,2023-07,5480,6851,8221,directo
miguel_lanus,2024-07,5734,7168,8602,directo
miguel_lanus,2025-07,5918,7398,8878,directo
norte,2018-07,190,238,286,directo
norte,2019-07,227,284,342,directo
norte,2020-07,244,306,368,directo
norte,2021-07,302,378,454,directo
norte,2022-07,313,392,471,directo
norte,2023-07,336,421,506,directo
norte,2024-07,397,497,597,directo
norte,2025-07,449,562,674,directo
centro,2018-07,18892,23616,28340,directo
centro,2019-07,20612,25765,30919,directo
centro,2020-07,20871,26089,31308,directo
centro,2021-07,21427,26784,32141,directo
centro,2022-07,21585,26982,32379,directo
centro,2023-07,21821,27277,32733,directo
centro,2024-07,22173,27716,33260,directo
centro,2025-07,22256,27821,33385,directo
complejo_gervasio_artigas,2018-07,3366,4208,5051,directo
complejo_gervasio_artigas,2019-07,4066,5083,6100,directo
complejo_gervasio_artigas,2020-07,4222,5278,6334,directo
complejo_gervasio_artigas,2021-07,4455,5569,6684,directo
complejo_gervasio_artigas,2022-07,4487,5609,6731,directo
complejo_gervasio_artigas,2023-07,4685,5857,7029,directo
complejo_gervasio_artigas,2024-07,4763,5954,7146,directo
complejo_gervasio_artigas,2025-07,4849,6062,7275,directo
federal,2018-07,48,61,74,directo
federal,2019-07,51,65,78,directo
federal,2020-07,57,72,87,directo
federal,2021-07,66,83,100,directo
federal,2022-07,66,83,100,directo
federal,2023-07,69,86,104,directo
federal,2024-07,72,90,108,directo
federal,2025-07,72,90,108,directo
nemesio_parma,2018-07,5,7,9,directo
nemesio_parma,2019-07,5,7,9,directo
nemesio_parma,2020-07,5,7,9,directo
nemesio_parma,2021-07,8,11,13,directo
nemesio_parma,2022-07,8,11,13,directo
nemesio_parma,2023-07,8,11,13,directo
nemesio_parma,2024-07,11,14,18,directo
nemesio_parma,2025-07,11,14,18,directo
villa_cabello,2018-07,8144,10181,12217,directo
villa_cabello,2019-07,10062,12578,15095,directo
villa_cabello,2020-07,10347,12935,15522,directo
villa_cabello,2021-07,11099,13874,16650,directo
villa_cabello,2022-07,11266,14083,16900,directo
villa_cabello,2023-07,11629,14537,17445,directo
villa_cabello,2024-07,12271,15340,18408,directo
villa_cabello,2025-07,12395,15494,18594,directo
itaembe_pora,2018-07,8147,10184,12222,directo
itaembe_pora,2019-07,9910,12388,14866,directo
itaembe_pora,2020-07,10298,12874,15449,directo
itaembe_pora,2021-07,11459,14324,17190,directo
itaembe_pora,2022-07,11592,14490,17388,directo
itaembe_pora,2023-07,12038,15048,18058,directo
itaembe_pora,2024-07,12525,15656,18788,directo
itaembe_pora,2025-07,12718,15898,19078,directo
itaembe_mini,2018-07,2514,3143,3772,directo
itaembe_mini,2019-07,3029,3787,4545,directo
itaembe_mini,2020-07,3144,3931,4718,directo
itaembe_mini,2021-07,3473,4342,5210,directo
itaembe_mini,2022-07,3519,4399,5280,directo
itaembe_mini,2023-07,3643,4554,5465,directo
itaembe_mini,2024-07,3827,4784,5742,directo
itaembe_mini,2025-07,3893,4867,5841,directo
aguas_corrientes,2018-07,14604,18256,21907,directo
aguas_corrientes,2019-07,16885,21107,25329,directo
aguas_corrientes,2020-07,17328,21661,25994,directo
aguas_corrientes,2021-07,18002,22504,27005,directo
aguas_corrientes,2022-07,18198,22748,27299,directo
aguas_corrientes,2023-07,18613,23267,27921,directo
aguas_corrientes,2024-07,19307,24134,28962,directo
aguas_corrientes,2025-07,19491,24365,29238,directo
chacra_32,2018-07,14025,17532,21039,directo
chacra_32,2019-07,17190,21488,25787,directo
chacra_32,2020-07,17812,22266,26720,directo
chacra_32,2021-07,19350,24188,29027,directo
chacra_32,2022-07,19814,24768,29722,directo
chacra_32,2023-07,20511,25639,30768,directo
chacra_32,2024-07,21389,26737,32085,directo
chacra_32,2025-07,21654,27068,32483,directo
bajada_vieja,2018-07,2260,2826,3392,directo
bajada_vieja,2019-07,2528,3161,3793,directo
bajada_vieja,2020-07,2620,3276,3932,directo
bajada_vieja,2021-07,2793,3492,4191,directo
bajada_vieja,2022-07,2813,3517,4221,directo
bajada_vieja,2023-07,2868,3586,4303,directo
bajada_vieja,2024-07,2923,3654,4385,directo
bajada_vieja,2025-07,2940,3676,4411,directo
villa_bonita,2018-07,3395,4244,5094,directo
villa_bonita,2019-07,4579,5724,6869,directo
villa_bonita,2020-07,4720,5900,7081,directo
villa_bonita,2021-07,5057,6322,7586,directo
villa_bonita,2022-07,5238,6548,7859,directo
villa_bonita,2023-07,5518,6898,8278,directo
villa_bonita,2024-07,5794,7243,8692,directo
villa_bonita,2025-07,5955,7445,8934,directo
itaembe_guazu,2018-07,19944,24930,29916,directo
itaembe_guazu,2019-07,22265,27832,33398,directo
itaembe_guazu,2020-07,22584,28231,33878,directo
itaembe_guazu,2021-07,24373,30467,36561,directo
itaembe_guazu,2022-07,26029,32537,39045,directo
itaembe_guazu,2023-07,26259,32825,39390,directo
itaembe_guazu,2024-07,26282,32854,39425,directo
itaembe_guazu,2025-07,26288,32861,39433,directo
