poligono_id,score,componentes_json,version_metodologia
san_martin,35.95,"{""crecimiento"": {""crudo"": 0.3232, ""norm"": 0.3232, ""peso"": 0.25}, ""densidad"": {""crudo"": 1669.3162, ""norm"": 0.0845, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.2773, ""norm"": 0.2733, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
villa_sarita,15.06,"{""crecimiento"": {""crudo"": 0.0887, ""norm"": 0.0887, ""peso"": 0.25}, ""densidad"": {""crudo"": 5330.2666, ""norm"": 0.2701, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": 161.0, ""norm"": 0.074, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": 401.9, ""norm"": 0.154, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.0055, ""norm"": 0.0, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
el_brete,25.76,"{""crecimiento"": {""crudo"": 0.2122, ""norm"": 0.2122, ""peso"": 0.25}, ""densidad"": {""crudo"": 1315.8981, ""norm"": 0.0666, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": 443.6, ""norm"": 0.2758, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": 599.5, ""norm"": 0.2422, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.3571, ""norm"": 0.3535, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
luis_piedrabuena,36.89,"{""crecimiento"": {""crudo"": 0.2667, ""norm"": 0.2667, ""peso"": 0.25}, ""densidad"": {""crudo"": 506.8861, ""norm"": 0.0256, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.4922, ""norm"": 0.4894, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
san_lucas,49.75,"{""crecimiento"": {""crudo"": 0.5424, ""norm"": 0.5424, ""peso"": 0.25}, ""densidad"": {""crudo"": 633.2734, ""norm"": 0.032, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.8814, ""norm"": 0.8808, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
monsenor_kemerer,37.81,"{""crecimiento"": {""crudo"": 0.2595, ""norm"": 0.2595, ""peso"": 0.25}, ""densidad"": {""crudo"": 1668.4, ""norm"": 0.0845, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.5067, ""norm"": 0.504, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
rocamora,32.99,"{""crecimiento"": {""crudo"": 0.2179, ""norm"": 0.2179, ""peso"": 0.25}, ""densidad"": {""crudo"": 3337.1131, ""norm"": 0.169, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.1715, ""norm"": 0.1669, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
yacyreta,42.12,"{""crecimiento"": {""crudo"": 0.4154, ""norm"": 0.4154, ""peso"": 0.25}, ""densidad"": {""crudo"": 1659.1672, ""norm"": 0.084, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.5341, ""norm"": 0.5315, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
villa_urquiza,19.25,"{""crecimiento"": {""crudo"": 0.1546, ""norm"": 0.1546, ""peso"": 0.25}, ""densidad"": {""crudo"": 2834.453, ""norm"": 0.1436, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": 334.7, ""norm"": 0.198, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": 60.7, ""norm"": 0.0017, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.2873, ""norm"": 0.2834, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
complejo_habitacional_virgen_de_fatima,37.13,"{""crecimiento"": {""crudo"": 0.1442, ""norm"": 0.1442, ""peso"": 0.25}, ""densidad"": {""crudo"": 1210.2789, ""norm"": 0.0612, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.6756, ""norm"": 0.6738, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
a4_nueva_esperanza,49.77,"{""crecimiento"": {""crudo"": null, ""norm"": 0.5, ""peso"": 0.25}, ""densidad"": {""crudo"": null, ""norm"": 0.5, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.4877, ""norm"": 0.4849, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
el_laurel,37.51,"{""crecimiento"": {""crudo"": 0.2286, ""norm"": 0.2286, ""peso"": 0.25}, ""densidad"": {""crudo"": 90.6816, ""norm"": 0.0045, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.6175, ""norm"": 0.6154, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
cima_del_sol,48.93,"{""crecimiento"": {""crudo"": null, ""norm"": 0.5, ""peso"": 0.25}, ""densidad"": {""crudo"": null, ""norm"": 0.5, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.4321, ""norm"": 0.4289, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
san_isidro,54.17,"{""crecimiento"": {""crudo"": null, ""norm"": 0.5, ""peso"": 0.25}, ""densidad"": {""crudo"": null, ""norm"": 0.5, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.7793, ""norm"": 0.7781, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
lomas_de_garupa,37.7,"{""crecimiento"": {""crudo"": 0.284, ""norm"": 0.284, ""peso"": 0.25}, ""densidad"": {""crudo"": 375.0655, ""norm"": 0.0189, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.5235, ""norm"": 0.5209, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
santa_helena,40.07,"{""crecimiento"": {""crudo"": 0.2046, ""norm"": 0.2046, ""peso"": 0.25}, ""densidad"": {""crudo"": 594.0377, ""norm"": 0.03, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.8012, ""norm"": 0.8001, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
