poligono_id,fecha,dw_built_mean,dw_built_median,dw_built_pct_ge_50,n_imagenes,version_script,fecha_calculo
23_de_septiembre,2018-07,0.740122428628179,0.741469278781474,1.0,42,0.1.0,2026-04-28T09:38:36
23_de_septiembre,2019-07,0.7404553788061775,0.7409356420146583,1.0,30,0.1.0,2026-04-28T09:38:37
23_de_septiembre,2020-07,0.7405646102528478,0.7409513458841416,1.0,45,0.1.0,2026-04-28T09:38:38
23_de_septiembre,2021-07,0.7386948660878334,0.7395503568516258,1.0,48,0.1.0,2026-04-28T09:38:39
23_de_septiembre,2022-07,0.7396092349578469,0.7404675874293473,1.0,32,0.1.0,2026-04-28T09:38:41
23_de_septiembre,2023-07,0.7371516100259762,0.7375521930799366,1.0,44,0.1.0,2026-04-28T09:38:43
23_de_septiembre,2024-07,0.7354882936409168,0.737053171165553,1.0,22,0.1.0,2026-04-28T09:38:44
23_de_septiembre,2025-07,0.7393149967822555,0.7404827804623954,1.0,46,0.1.0,2026-04-28T09:38:46
23_de_septiembre,2026-07,,,,0,0.1.0,2026-04-28T09:38:46
a4_nueva_esperanza,2018-07,0.6923048330407697,0.732503881828522,0.92355810833147,42,0.1.0,2026-04-28T09:40:49
a4_nueva_esperanza,2019-07,0.6972732299649372,0.7334065615726041,0.9323523835451284,30,0.1.0,2026-04-28T09:40:50
a4_nueva_esperanza,2020-07,0.7038396914316419,0.7363597340351915,0.9428876481512088,45,0.1.0,2026-04-28T09:40:51
a4_nueva_esperanza,2021-07,0.7049186375097333,0.7334074732548623,0.9546194251878932,48,0.1.0,2026-04-28T09:40:52
a4_nueva_esperanza,2022-07,0.7097463832799368,0.735390604946027,0.9637369835976314,32,0.1.0,2026-04-28T09:40:52
a4_nueva_esperanza,2023-07,0.7054826699691705,0.7275643392007962,0.9724188389028788,44,0.1.0,2026-04-28T09:40:53
a4_nueva_esperanza,2024-07,0.6969012467259929,0.7236669059545061,0.9577690056489484,22,0.1.0,2026-04-28T09:40:53
a4_nueva_esperanza,2025-07,0.7035818665611664,0.727524448821324,0.9735023237498904,47,0.1.0,2026-04-28T09:40:55
a4_nueva_esperanza,2026-07,,,,0,0.1.0,2026-04-28T09:40:55
a_3_2_sector_b,2018-07,0.7414236596977262,0.7426498740158799,1.0,42,0.1.0,2026-04-28T09:38:08
a_3_2_sector_b,2019-07,0.7394160918889139,0.7406597211241185,1.0,30,0.1.0,2026-04-28T09:38:10
a_3_2_sector_b,2020-07,0.7427895748121925,0.7434523566685625,1.0,45,0.1.0,2026-04-28T09:38:11
a_3_2_sector_b,2021-07,0.7402158875324079,0.7409444427355306,1.0,48,0.1.0,2026-04-28T09:38:12
a_3_2_sector_b,2022-07,0.7412905556658809,0.7416742360942428,1.0,32,0.1.0,2026-04-28T09:38:13
a_3_2_sector_b,2023-07,0.7402110840050367,0.7409851630760458,1.0,44,0.1.0,2026-04-28T09:38:14
a_3_2_sector_b,2024-07,0.7396059095814961,0.7397748125961323,1.0,22,0.1.0,2026-04-28T09:38:15
a_3_2_sector_b,2025-07,0.7393807878294061,0.7407469731798424,1.0,47,0.1.0,2026-04-28T09:38:16
a_3_2_sector_b,2026-07,,,,0,0.1.0,2026-04-28T09:38:16
aguas_corrientes,2018-07,0.7216294538631141,0.7403026946406092,0.9655115774392548,42,0.1.0,2026-04-28T09:43:51
aguas_corrientes,2019-07,0.7223285385590387,0.7403025462129968,0.9650043947545378,31,0.1.0,2026-04-28T09:43:52
aguas_corrientes,2020-07,0.7204815332546417,0.744168981854914,0.9617922377513312,45,0.1.0,2026-04-28T09:43:53
aguas_corrientes,2021-07,0.7187291069032781,0.7402663226197069,0.9633983162529348,48,0.1.0,2026-04-28T09:43:55
aguas_corrientes,2022-07,0.7175215098192441,0.7402722543679072,0.963229255358029,32,0.1.0,2026-04-28T09:43:56
aguas_corrientes,2023-07,0.7152758036620455,0.7363885198946274,0.9617922377513312,44,0.1.0,2026-04-28T09:43:57
aguas_corrientes,2024-07,0.716298709605852,0.7402003520214572,0.9622571552123218,22,0.1.0,2026-04-28T09:43:58
aguas_corrientes,2025-07,0.7149900312154973,0.7402896398494155,0.9582842241820396,46,0.1.0,2026-04-28T09:44:08
aguas_corrientes,2026-07,,,,0,0.1.0,2026-04-28T09:44:08
alta_gracia,2018-07,0.7279451497183498,0.7363791582200199,0.9918988127132744,42,0.1.0,2026-04-28T09:39:20
alta_gracia,2019-07,0.7311030496336701,0.7403081128298664,0.991754984630136,30,0.1.0,2026-04-28T09:39:21
alta_gracia,2020-07,0.7294307821633726,0.7402627277478513,0.9912383315942356,45,0.1.0,2026-04-28T09:39:22
alta_gracia,2021-07,0.7277230710476029,0.736356140201259,0.9947110747624016,48,0.1.0,2026-04-28T09:39:23
alta_gracia,2022-07,0.7303048947881293,0.7401764529011274,0.9933235567838912,32,0.1.0,2026-04-28T09:39:23
alta_gracia,2023-07,0.724213727966567,0.7324038547474874,0.9961031049945008,44,0.1.0,2026-04-28T09:39:24
alta_gracia,2024-07,0.7316023835414591,0.7402683794366094,0.9961183338503624,22,0.1.0,2026-04-28T09:39:25
alta_gracia,2025-07,0.728445336667205,0.7402464476988159,0.992460024253363,46,0.1.0,2026-04-28T09:39:26
alta_gracia,2026-07,,,,0,0.1.0,2026-04-28T09:39:27
bajada_vieja,2018-07,0.6787388925119416,0.732377380765184,0.9042039959768255,42,0.1.0,2026-04-28T09:44:41
bajada_vieja,2019-07,0.664273920091371,0.7325253279857656,0.8735897759445077,31,0.1.0,2026-04-28T09:44:42
bajada_vieja,2020-07,0.6637474069236389,0.732443638720882,0.8729937729014006,45,0.1.0,2026-04-28T09:44:43
bajada_vieja,2021-07,0.6765019211040452,0.7325026977561954,0.9005477347596563,48,0.1.0,2026-04-28T09:44:44
bajada_vieja,2022-07,0.6639232928428297,0.7325265445797539,0.8764552458680993,32,0.1.0,2026-04-28T09:44:45
bajada_vieja,2023-07,0.6658512215230789,0.7285325581452154,0.8798082989595359,44,0.1.0,2026-04-28T09:44:47
bajada_vieja,2024-07,0.6522920273330605,0.7284918732278678,0.8577494484062269,22,0.1.0,2026-04-28T09:44:48
