poligono_id,fecha,n_edificios_min,n_edificios_estimado,n_edificios_max
a4_nueva_esperanza,2019-07,92,109,126
a4_nueva_esperanza,2020-07,93,110,127
a4_nueva_esperanza,2021-07,101,119,137
a4_nueva_esperanza,2022-07,102,121,140
a4_nueva_esperanza,2023-07,102,121,140
a4_nueva_esperanza,2024-07,105,124,143
a4_nueva_esperanza,2025-07,105,124,143
el_laurel,2018-07,36,43,50
el_laurel,2019-07,59,70,81
el_laurel,2020-07,64,76,88
el_laurel,2021-07,70,83,96
el_laurel,2022-07,73,87,101
el_laurel,2023-07,76,90,104
el_laurel,2024-07,80,95,110
el_laurel,2025-07,83,98,113
cima_del_sol,2018-07,62,73,84
cima_del_sol,2019-07,68,81,94
cima_del_sol,2020-07,74,88,102
cima_del_sol,2021-07,86,102,118
cima_del_sol,2022-07,88,104,120
cima_del_sol,2023-07,96,114,132
cima_del_sol,2024-07,102,121,140
cima_del_sol,2025-07,105,124,143
san_isidro,2018-07,310,365,420
san_isidro,2019-07,375,442,509
san_isidro,2020-07,397,468,539
san_isidro,2021-07,440,518,596
san_isidro,2022-07,444,523,602
san_isidro,2023-07,464,547,630
san_isidro,2024-07,477,562,647
san_isidro,2025-07,487,573,659
lomas_de_garupa,2018-07,90,107,124
lomas_de_garupa,2019-07,122,144,166
lomas_de_garupa,2020-07,133,157,181
lomas_de_garupa,2021-07,141,167,193
lomas_de_garupa,2022-07,155,183,211
lomas_de_garupa,2023-07,164,193,222
lomas_de_garupa,2024-07,167,197,227
lomas_de_garupa,2025-07,175,206,237
santa_helena,2018-07,477,562,647
santa_helena,2019-07,551,649,747
santa_helena,2020-07,567,668,769
santa_helena,2021-07,616,725,834
santa_helena,2022-07,623,734,845
santa_helena,2023-07,646,760,874
santa_helena,2024-07,666,784,902
santa_helena,2025-07,681,802,923
fatima,2018-07,96,113,130
fatima,2019-07,124,146,168
fatima,2020-07,131,155,179
fatima,2021-07,144,170,196
fatima,2022-07,150,177,204
fatima,2023-07,161,190,219
fatima,2024-07,174,205,236
fatima,2025-07,183,216,249
don_santiago,2018-07,55,65,75
don_santiago,2019-07,99,117,135
don_santiago,2020-07,104,123,142
don_santiago,2021-07,113,134,155
don_santiago,2022-07,117,138,159
don_santiago,2023-07,119,141,163
don_santiago,2024-07,133,157,181
don_santiago,2025-07,138,163,188
nu_pora,2018-07,164,194,224
nu_pora,2019-07,270,318,366
nu_pora,2020-07,285,336,387
nu_pora,2021-07,314,370,426
nu_pora,2022-07,324,382,440
nu_pora,2023-07,347,409,471
nu_pora,2024-07,369,435,501
nu_pora,2025-07,392,462,532
miguel_lanus,2018-07,374,441,508
miguel_lanus,2019-07,542,638,734
miguel_lanus,2020-07,574,676,778
miguel_lanus,2021-07,655,771,887
miguel_lanus,2022-07,678,798,918
miguel_lanus,2023-07,729,858,987
miguel_lanus,2024-07,764,899,1034
miguel_lanus,2025-07,789,929,1069
norte,2018-07,25,30,35
norte,2019-07,32,38,44
norte,2020-07,34,41,48
norte,2021-07,45,53,61
norte,2022-07,45,54,63
norte,2023-07,47,56,65
norte,2024-07,53,63,73
norte,2025-07,58,69,80
centro,2018-07,3346,3937,4528
centro,2019-07,3637,4279,4921
centro,2020-07,3679,4329,4979
centro,2021-07,3777,4444,5111
centro,2022-07,3798,4469,5140
centro,2023-07,3838,4516,5194
centro,2024-07,3907,4597,5287
centro,2025-07,3921,4614,5307
complejo_gervasio_artigas,2018-07,312,368,424
complejo_gervasio_artigas,2019-07,396,466,536
complejo_gervasio_artigas,2020-07,413,487,561
complejo_gervasio_artigas,2021-07,442,521,600
complejo_gervasio_artigas,2022-07,447,527,607
complejo_gervasio_artigas,2023-07,469,552,635
complejo_gervasio_artigas,2024-07,476,560,644
complejo_gervasio_artigas,2025-07,485,571,657
federal,2018-07,4,5,6
federal,2019-07,6,8,10
federal,2020-07,8,10,12
federal,2021-07,11,13,15
federal,2022-07,11,13,15
federal,2023-07,11,13,15
federal,2024-07,11,14,17
federal,2025-07,11,14,17
nemesio_parma,2018-07,0,0,0
nemesio_parma,2019-07,0,0,0
nemesio_parma,2020-07,0,0,0
nemesio_parma,2021-07,0,0,0
