poligono_id,anio,estacion,uhi_vs_rural_mean,uhi_vs_ciudad_mean,lst_mean,n_meses
a_3_2_sector_b,2026,otono,7.88,3.38,41.25,1
a_3_2_sector_b,2026,verano,4.87,2.03,42.41,3
aguas_corrientes,2018,invierno,-0.01,-0.26,21.84,1
aguas_corrientes,2018,otono,1.92,1.06,30.69,3
aguas_corrientes,2018,primavera,3.95,1.83,35.52,3
aguas_corrientes,2018,verano,1.51,1.69,36.7,1
aguas_corrientes,2019,invierno,0.62,-0.04,22.34,2
aguas_corrientes,2019,otono,5.81,3.31,36.6,2
aguas_corrientes,2019,primavera,5.13,1.92,36.1,3
aguas_corrientes,2019,verano,5.0,2.41,40.45,2
aguas_corrientes,2020,invierno,0.7,0.21,23.27,1
aguas_corrientes,2020,otono,3.14,0.79,27.7,3
aguas_corrientes,2020,primavera,1.78,0.9,40.54,2
aguas_corrientes,2020,verano,4.7,2.08,40.74,2
aguas_corrientes,2021,invierno,-0.42,-0.08,18.8,2
aguas_corrientes,2021,otono,0.99,1.2,32.07,3
aguas_corrientes,2021,primavera,4.67,2.03,37.53,3
aguas_corrientes,2021,verano,2.7,1.17,41.62,2
aguas_corrientes,2022,invierno,2.42,0.77,22.96,2
aguas_corrientes,2022,otono,1.78,0.71,27.36,3
aguas_corrientes,2022,primavera,3.13,1.49,33.64,3
aguas_corrientes,2022,verano,3.19,1.04,43.6,3
aguas_corrientes,2023,invierno,1.08,0.25,26.11,3
aguas_corrientes,2023,otono,2.41,0.89,30.68,3
aguas_corrientes,2023,primavera,4.17,1.55,36.43,3
aguas_corrientes,2023,verano,2.5,1.33,42.84,3
aguas_corrientes,2024,invierno,0.46,-0.3,19.38,2
aguas_corrientes,2024,otono,0.36,-0.05,28.92,3
aguas_corrientes,2024,primavera,5.25,2.0,35.49,3
aguas_corrientes,2024,verano,7.59,2.56,45.08,3
aguas_corrientes,2025,invierno,0.82,0.07,17.73,3
aguas_corrientes,2025,otono,0.97,0.28,29.14,3
aguas_corrientes,2025,primavera,4.6,1.58,34.97,3
aguas_corrientes,2025,verano,4.22,1.83,42.47,3
aguas_corrientes,2026,otono,3.11,-1.39,36.48,1
aguas_corrientes,2026,verano,4.74,1.89,42.28,3
alta_gracia,2018,invierno,-0.17,-0.42,21.68,1
alta_gracia,2018,otono,1.0,0.14,29.77,3
alta_gracia,2018,primavera,2.89,0.77,34.46,3
alta_gracia,2018,verano,0.17,0.35,35.36,1
alta_gracia,2019,invierno,0.3,-0.37,22.02,2
alta_gracia,2019,otono,1.64,-0.86,32.42,2
alta_gracia,2019,primavera,3.95,0.74,34.92,3
alta_gracia,2019,verano,4.34,1.74,39.78,2
alta_gracia,2020,invierno,0.13,-0.36,22.7,1
alta_gracia,2020,otono,2.05,-0.3,26.6,3
alta_gracia,2020,primavera,0.6,-0.29,39.36,2
alta_gracia,2020,verano,3.1,0.48,39.14,2
alta_gracia,2021,invierno,-1.11,-0.77,18.11,2
alta_gracia,2021,otono,-0.51,-0.3,30.57,3
alta_gracia,2021,primavera,3.4,0.75,36.25,3
alta_gracia,2021,verano,1.21,-0.31,40.14,2
alta_gracia,2022,invierno,1.46,-0.2,21.98,2
alta_gracia,2022,otono,0.72,-0.35,26.3,3
alta_gracia,2022,primavera,1.84,0.2,32.34,3
alta_gracia,2022,verano,2.21,0.05,42.62,3
alta_gracia,2023,invierno,-0.07,-0.9,24.96,3
alta_gracia,2023,otono,1.34,-0.18,29.61,3
alta_gracia,2023,primavera,3.58,0.96,35.85,3
alta_gracia,2023,verano,1.39,0.21,41.72,3
alta_gracia,2024,invierno,1.92,0.57,19.8,3
alta_gracia,2024,otono,-0.11,-0.52,28.45,3
alta_gracia,2024,primavera,4.73,1.48,34.97,3
alta_gracia,2024,verano,6.01,0.98,43.5,3
alta_gracia,2025,invierno,0.37,-0.37,17.29,3
alta_gracia,2025,otono,0.34,-0.35,28.51,3
alta_gracia,2025,primavera,3.46,0.45,33.83,3
alta_gracia,2025,verano,3.35,0.96,41.6,3
alta_gracia,2026,otono,4.94,0.44,38.31,1
alta_gracia,2026,verano,3.47,0.63,41.01,3
centro,2018,invierno,0.67,0.42,22.52,1
centro,2018,otono,1.16,0.3,29.92,3
centro,2018,primavera,3.54,1.42,35.12,3
centro,2018,verano,0.74,0.92,35.93,1
centro,2019,invierno,-0.01,-0.68,21.72,2
centro,2019,otono,5.4,2.9,36.19,2
centro,2019,primavera,4.54,1.33,35.51,3
centro,2019,verano,4.34,1.75,39.8,2
centro,2020,invierno,0.47,-0.02,23.04,1
centro,2020,otono,2.54,0.19,27.09,3
centro,2020,primavera,1.2,0.3,39.96,2
centro,2020,verano,4.36,1.75,40.41,2
centro,2021,invierno,-0.7,-0.36,18.52,2
centro,2021,otono,0.68,0.89,31.76,3
centro,2021,primavera,4.39,1.74,37.24,3
centro,2021,verano,2.2,0.68,41.13,2
centro,2022,invierno,2.03,0.37,22.56,2
centro,2022,otono,1.52,0.46,27.11,3
centro,2022,primavera,2.8,1.16,33.31,3
centro,2022,verano,2.68,0.52,43.09,3
centro,2023,invierno,0.56,-0.27,25.59,3
centro,2023,otono,1.83,0.31,30.1,3
centro,2023,primavera,3.44,0.82,35.7,3
centro,2023,verano,2.17,0.99,42.5,3
centro,2024,invierno,-0.04,-0.81,18.88,2
centro,2024,otono,-1.16,-1.57,27.39,3
centro,2024,primavera,5.09,1.84,35.33,3
centro,2024,verano,7.45,2.42,44.93,3
centro,2025,invierno,0.57,-0.18,17.49,3
centro,2025,otono,0.91,0.22,29.08,3
centro,2025,primavera,4.11,1.1,34.48,3
centro,2025,verano,4.01,1.62,42.26,3
centro,2026,otono,2.97,-1.53,36.34,1
centro,2026,verano,4.63,1.78,42.16,3
chacra_32,2018,invierno,0.96,0.71,22.81,1
chacra_32,2018,otono,2.14,1.28,30.91,3
chacra_32,2018,primavera,4.94,2.83,36.52,3
chacra_32,2018,verano,2.14,2.32,37.33,1
chacra_32,2019,invierno,1.25,0.58,22.98,2
chacra_32,2019,otono,3.54,1.04,34.33,2
chacra_32,2019,primavera,6.04,2.83,37.01,3
